SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,PLAYER_ID,PLAYER_NAME
22015,203952,0021500017,"Oct 28, 2015",MIN @ LAL,W,29,2,10,0.2,0,2,0.0,5,6,0.833,0,1,1,0,0,0,2,3,9,8,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500029,"Oct 30, 2015",MIN @ DEN,W,31,5,13,0.385,0,1,0.0,8,10,0.8,2,2,4,1,0,1,4,2,18,14,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500050,"Nov 02, 2015",MIN vs. POR,L,23,5,17,0.294,0,3,0.0,6,7,0.857,3,3,6,3,1,0,3,2,16,-6,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500071,"Nov 05, 2015",MIN vs. MIA,L,31,5,18,0.278,1,3,0.333,1,2,0.5,3,1,4,0,1,0,0,1,12,-19,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500085,"Nov 07, 2015",MIN @ CHI,W,41,11,27,0.407,4,5,0.8,5,10,0.5,1,2,3,2,0,1,1,3,31,20,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500101,"Nov 09, 2015",MIN @ ATL,W,38,15,22,0.682,1,2,0.5,2,4,0.5,2,3,5,4,1,1,5,1,33,10,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500125,"Nov 12, 2015",MIN vs. GSW,L,35,7,17,0.412,1,2,0.5,4,6,0.667,1,1,2,5,0,0,1,1,19,-21,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500127,"Nov 13, 2015",MIN @ IND,L,42,10,19,0.526,1,4,0.25,5,6,0.833,0,2,2,2,0,0,3,3,26,1,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500146,"Nov 15, 2015",MIN vs. MEM,L,37,8,14,0.571,1,2,0.5,4,5,0.8,0,1,1,1,1,1,2,2,21,1,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500161,"Nov 17, 2015",MIN @ MIA,W,33,8,21,0.381,0,1,0.0,8,11,0.727,2,1,3,1,3,1,1,1,24,1,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500166,"Nov 18, 2015",MIN @ ORL,L,38,8,17,0.471,0,1,0.0,12,14,0.857,3,2,5,1,0,2,2,2,28,-8,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500181,"Nov 20, 2015",MIN vs. DET,L,36,7,17,0.412,0,3,0.0,7,11,0.636,1,4,5,3,0,0,2,1,21,-13,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500206,"Nov 23, 2015",MIN vs. PHI,W,38,10,21,0.476,1,3,0.333,11,12,0.917,3,2,5,3,1,2,2,1,32,12,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500222,"Nov 25, 2015",MIN vs. ATL,W,36,5,17,0.294,0,4,0.0,5,8,0.625,1,3,4,1,3,0,3,0,15,-2,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500237,"Nov 27, 2015",MIN @ SAC,W,36,8,17,0.471,1,3,0.333,5,6,0.833,5,1,6,1,0,1,1,4,22,5,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500247,"Nov 29, 2015",MIN @ LAC,L,38,7,15,0.467,2,4,0.5,5,7,0.714,0,2,2,2,1,1,4,3,21,-6,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500265,"Dec 01, 2015",MIN vs. ORL,L,36,9,15,0.6,1,3,0.333,8,11,0.727,1,3,4,2,0,1,2,3,27,-5,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500294,"Dec 05, 2015",MIN vs. POR,L,40,6,15,0.4,0,4,0.0,5,6,0.833,1,4,5,0,0,1,1,3,17,-3,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500311,"Dec 07, 2015",MIN vs. LAC,L,31,3,15,0.2,1,4,0.25,1,5,0.2,3,4,7,0,1,1,2,4,8,-10,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500325,"Dec 09, 2015",MIN vs. LAL,W,36,7,16,0.438,0,2,0.0,5,5,1.0,0,0,0,2,0,0,1,0,19,-1,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500340,"Dec 11, 2015",MIN @ DEN,L,35,8,17,0.471,0,0,0.0,6,8,0.75,0,3,3,1,1,1,3,4,22,-11,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500353,"Dec 13, 2015",MIN @ PHX,L,27,4,8,0.5,0,1,0.0,5,7,0.714,0,2,2,1,0,0,3,2,13,-17,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500368,"Dec 15, 2015",MIN vs. DEN,L,34,9,17,0.529,1,1,1.0,4,5,0.8,0,1,1,1,0,1,3,3,23,-5,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500375,"Dec 16, 2015",MIN @ NYK,L,37,8,22,0.364,0,4,0.0,7,7,1.0,2,3,5,1,1,1,2,3,23,1,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500392,"Dec 18, 2015",MIN vs. SAC,W,36,11,20,0.55,1,3,0.333,9,10,0.9,5,5,10,6,0,0,4,2,32,10,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500403,"Dec 20, 2015",MIN @ BKN,W,32,6,11,0.545,0,2,0.0,4,6,0.667,2,1,3,0,1,1,3,3,16,17,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500411,"Dec 21, 2015",MIN @ BOS,L,34,8,17,0.471,1,4,0.25,9,10,0.9,0,3,3,0,0,0,3,4,26,-4,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500431,"Dec 23, 2015",MIN vs. SAS,L,31,2,11,0.182,0,1,0.0,6,9,0.667,0,0,0,4,0,0,2,1,10,-14,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500448,"Dec 26, 2015",MIN vs. IND,L,38,9,18,0.5,0,1,0.0,1,3,0.333,3,0,3,1,1,0,1,1,19,0,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500465,"Dec 28, 2015",MIN @ SAS,L,37,8,18,0.444,0,1,0.0,2,8,0.25,2,4,6,1,2,0,3,3,18,-2,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500479,"Dec 30, 2015",MIN vs. UTA,W,41,6,17,0.353,0,1,0.0,5,8,0.625,3,3,6,4,1,0,0,2,17,9,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500486,"Dec 31, 2015",MIN @ DET,L,35,8,19,0.421,1,3,0.333,4,4,1.0,0,3,3,1,3,0,2,2,21,-25,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500500,"Jan 02, 2016",MIN vs. MIL,L,35,7,17,0.412,0,3,0.0,5,9,0.556,2,4,6,1,3,1,4,2,19,-17,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500512,"Jan 04, 2016",MIN @ PHI,L,25,4,9,0.444,0,0,0.0,8,10,0.8,0,3,3,2,1,2,3,3,16,-6,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500530,"Jan 06, 2016",MIN vs. DEN,L,31,4,14,0.286,0,1,0.0,3,6,0.5,1,2,3,1,0,0,4,0,11,-2,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500543,"Jan 08, 2016",MIN vs. CLE,L,39,12,19,0.632,3,7,0.429,8,12,0.667,1,1,2,3,1,1,3,1,35,-28,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500557,"Jan 10, 2016",MIN vs. DAL,L,36,8,19,0.421,1,4,0.25,4,5,0.8,3,4,7,3,2,0,3,1,21,9,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500574,"Jan 12, 2016",MIN vs. OKC,L,35,8,19,0.421,0,2,0.0,6,8,0.75,3,2,5,2,1,0,3,3,22,-6,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500581,"Jan 13, 2016",MIN @ HOU,L,36,9,16,0.563,2,3,0.667,8,9,0.889,1,1,2,1,1,0,1,3,28,10,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500594,"Jan 15, 2016",MIN @ OKC,L,40,10,22,0.455,0,1,0.0,5,5,1.0,2,1,3,3,1,0,3,3,25,-21,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500610,"Jan 17, 2016",MIN vs. PHX,W,28,8,13,0.615,0,1,0.0,2,2,1.0,2,2,4,4,0,0,1,2,18,13,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500626,"Jan 19, 2016",MIN @ NOP,L,35,7,17,0.412,0,4,0.0,7,10,0.7,2,2,4,2,3,0,0,1,21,2,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500637,"Jan 20, 2016",MIN @ DAL,L,40,9,17,0.529,1,2,0.5,4,5,0.8,2,5,7,3,0,1,2,4,23,-5,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500658,"Jan 23, 2016",MIN vs. MEM,W,34,7,10,0.7,0,1,0.0,5,5,1.0,1,4,5,1,0,1,1,0,19,1,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500667,"Jan 25, 2016",MIN @ CLE,L,39,7,14,0.5,1,3,0.333,5,6,0.833,0,1,1,1,2,1,2,5,20,2,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500688,"Jan 27, 2016",MIN vs. OKC,L,37,8,14,0.571,0,1,0.0,4,6,0.667,0,1,1,4,0,0,1,0,20,-2,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500704,"Jan 29, 2016",MIN @ UTA,L,36,2,11,0.182,0,0,0.0,1,2,0.5,0,0,0,0,2,0,0,2,5,0,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500719,"Jan 31, 2016",MIN @ POR,L,34,3,18,0.167,0,4,0.0,9,12,0.75,5,4,9,2,0,0,3,0,15,11,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500734,"Feb 02, 2016",MIN @ LAL,L,41,13,20,0.65,1,2,0.5,3,6,0.5,3,1,4,1,1,2,1,6,30,-3,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500745,"Feb 03, 2016",MIN @ LAC,W,37,12,21,0.571,3,5,0.6,4,4,1.0,2,2,4,3,0,2,3,3,31,13,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500766,"Feb 06, 2016",MIN vs. CHI,W,33,8,17,0.471,0,1,0.0,5,6,0.833,1,1,2,2,0,0,1,0,21,9,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500782,"Feb 08, 2016",MIN vs. NOP,L,31,5,14,0.357,0,2,0.0,5,5,1.0,0,0,0,2,0,2,3,2,15,-17,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500797,"Feb 10, 2016",MIN vs. TOR,W,37,8,18,0.444,0,2,0.0,10,13,0.769,1,2,3,0,2,1,1,5,26,15,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500810,"Feb 19, 2016",MIN @ MEM,L,34,5,10,0.5,0,0,0.0,10,10,1.0,0,2,2,5,1,0,1,1,20,-8,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500821,"Feb 20, 2016",MIN vs. NYK,L,36,8,20,0.4,2,2,1.0,6,8,0.75,1,4,5,0,2,2,1,2,24,-3,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500838,"Feb 22, 2016",MIN vs. BOS,W,36,5,11,0.455,0,1,0.0,7,12,0.583,1,0,1,4,1,1,4,3,17,-1,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500849,"Feb 24, 2016",MIN @ TOR,L,32,9,19,0.474,2,2,1.0,6,9,0.667,2,2,4,3,1,0,6,2,26,8,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500870,"Feb 27, 2016",MIN @ NOP,W,37,5,15,0.333,0,3,0.0,10,10,1.0,0,4,4,4,1,1,2,2,20,4,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500882,"Feb 28, 2016",MIN @ DAL,L,30,5,14,0.357,0,1,0.0,5,8,0.625,2,2,4,1,0,0,3,2,15,-33,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500904,"Mar 02, 2016",MIN vs. WAS,L,36,6,11,0.545,0,0,0.0,5,6,0.833,0,2,2,1,1,0,2,2,17,9,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500919,"Mar 04, 2016",MIN @ MIL,L,21,3,7,0.429,1,2,0.5,3,4,0.75,2,0,2,2,0,0,3,1,10,-22,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500926,"Mar 05, 2016",MIN vs. BKN,W,33,10,14,0.714,2,2,1.0,4,4,1.0,0,4,4,6,1,0,1,3,26,21,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500937,"Mar 07, 2016",MIN @ CHA,L,41,11,17,0.647,1,1,1.0,2,3,0.667,2,3,5,1,1,1,2,1,25,10,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500945,"Mar 08, 2016",MIN vs. SAS,L,39,9,21,0.429,1,3,0.333,4,4,1.0,0,8,8,1,1,0,5,1,23,-17,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500968,"Mar 11, 2016",MIN @ OKC,W,35,8,19,0.421,2,5,0.4,2,4,0.5,0,0,0,4,5,0,3,2,20,12,1,2015-16,203952,Andrew Wiggins
22015,203952,0021500995,"Mar 14, 2016",MIN @ PHX,L,41,9,14,0.643,0,0,0.0,4,4,1.0,0,4,4,2,2,1,1,2,22,4,1,2015-16,203952,Andrew Wiggins
22015,203952,0021501008,"Mar 16, 2016",MIN @ MEM,W,31,7,13,0.538,2,5,0.4,0,0,0.0,0,3,3,1,0,2,3,3,16,6,1,2015-16,203952,Andrew Wiggins
22015,203952,0021501024,"Mar 18, 2016",MIN @ HOU,L,36,8,12,0.667,1,2,0.5,4,4,1.0,1,1,2,5,3,0,4,1,21,-9,1,2015-16,203952,Andrew Wiggins
22015,203952,0021501050,"Mar 21, 2016",MIN vs. GSW,L,41,8,21,0.381,1,3,0.333,8,11,0.727,0,5,5,4,1,1,1,2,25,-1,1,2015-16,203952,Andrew Wiggins
22015,203952,0021501062,"Mar 23, 2016",MIN vs. SAC,W,41,10,15,0.667,0,0,0.0,3,6,0.5,2,2,4,3,0,0,0,0,23,13,1,2015-16,203952,Andrew Wiggins
22015,203952,0021501073,"Mar 25, 2016",MIN @ WAS,W,43,4,14,0.286,0,4,0.0,8,8,1.0,2,5,7,3,1,0,2,1,16,13,1,2015-16,203952,Andrew Wiggins
22015,203952,0021501087,"Mar 26, 2016",MIN vs. UTA,L,33,4,12,0.333,0,1,0.0,5,7,0.714,1,3,4,2,0,0,1,2,13,1,1,2015-16,203952,Andrew Wiggins
22015,203952,0021501101,"Mar 28, 2016",MIN vs. PHX,W,36,6,13,0.462,3,5,0.6,17,21,0.81,1,4,5,2,1,3,1,0,32,16,1,2015-16,203952,Andrew Wiggins
22015,203952,0021501116,"Mar 30, 2016",MIN vs. LAC,L,24,3,9,0.333,1,2,0.5,0,0,0.0,0,0,0,1,1,0,6,3,7,-12,1,2015-16,203952,Andrew Wiggins
22015,203952,0021501134,"Apr 01, 2016",MIN @ UTA,L,37,11,21,0.524,2,6,0.333,0,2,0.0,2,0,2,1,1,0,2,3,24,-19,1,2015-16,203952,Andrew Wiggins
22015,203952,0021501146,"Apr 03, 2016",MIN vs. DAL,L,41,12,21,0.571,1,3,0.333,5,5,1.0,0,4,4,2,2,0,2,0,30,3,1,2015-16,203952,Andrew Wiggins
22015,203952,0021501163,"Apr 05, 2016",MIN @ GSW,W,42,11,19,0.579,2,3,0.667,8,9,0.889,1,4,5,4,6,0,5,0,32,4,1,2015-16,203952,Andrew Wiggins
22015,203952,0021501176,"Apr 07, 2016",MIN @ SAC,W,34,5,12,0.417,1,2,0.5,4,5,0.8,2,2,4,2,1,0,2,2,15,19,1,2015-16,203952,Andrew Wiggins
22015,203952,0021501192,"Apr 09, 2016",MIN @ POR,W,32,9,22,0.409,0,3,0.0,5,6,0.833,1,1,2,1,0,0,1,4,23,-8,1,2015-16,203952,Andrew Wiggins
22015,203952,0021501207,"Apr 11, 2016",MIN vs. HOU,L,27,3,7,0.429,0,0,0.0,6,6,1.0,0,1,1,3,1,0,4,3,12,-20,1,2015-16,203952,Andrew Wiggins
22015,203952,0021501226,"Apr 13, 2016",MIN vs. NOP,W,33,8,14,0.571,1,2,0.5,4,6,0.667,1,3,4,0,0,2,0,1,21,27,1,2015-16,203952,Andrew Wiggins
22016,203952,0021600009,"Oct 26, 2016",MIN @ MEM,L,34,7,14,0.5,1,1,1.0,10,14,0.714,4,3,7,0,0,1,2,1,25,-5,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600034,"Oct 29, 2016",MIN @ SAC,L,37,10,20,0.5,1,5,0.2,8,11,0.727,0,1,1,0,1,1,3,2,29,-7,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600052,"Nov 01, 2016",MIN vs. MEM,W,29,6,11,0.545,2,2,1.0,3,5,0.6,1,2,3,4,0,1,3,3,17,38,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600067,"Nov 03, 2016",MIN vs. DEN,L,35,9,18,0.5,2,3,0.667,5,5,1.0,1,2,3,1,0,0,1,3,25,2,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600079,"Nov 05, 2016",MIN @ OKC,L,27,3,13,0.231,0,1,0.0,1,2,0.5,1,2,3,1,1,1,3,2,7,-27,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600101,"Nov 08, 2016",MIN @ BKN,L,41,13,29,0.448,6,7,0.857,4,8,0.5,5,3,8,2,1,0,4,2,36,-4,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600109,"Nov 09, 2016",MIN @ ORL,W,39,10,18,0.556,2,4,0.5,7,9,0.778,1,3,4,6,0,0,2,2,29,21,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600135,"Nov 12, 2016",MIN vs. LAC,L,37,8,24,0.333,1,4,0.25,5,5,1.0,1,3,4,3,1,0,3,1,22,-21,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600142,"Nov 13, 2016",MIN vs. LAL,W,41,14,21,0.667,2,5,0.4,17,22,0.773,1,3,4,3,0,1,2,2,47,34,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600155,"Nov 15, 2016",MIN vs. CHA,L,42,10,24,0.417,3,6,0.5,6,9,0.667,0,2,2,3,0,2,4,1,29,-9,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600172,"Nov 17, 2016",MIN vs. PHI,W,38,14,20,0.7,3,6,0.5,4,4,1.0,4,6,10,4,1,0,3,0,35,21,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600190,"Nov 19, 2016",MIN @ MEM,L,32,2,11,0.182,0,3,0.0,3,4,0.75,0,4,4,1,0,1,5,1,7,-15,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600205,"Nov 21, 2016",MIN vs. BOS,L,39,5,18,0.278,0,5,0.0,4,6,0.667,0,4,4,1,0,0,2,1,14,-8,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600222,"Nov 23, 2016",MIN @ NOP,L,31,2,19,0.105,0,3,0.0,9,10,0.9,0,0,0,0,1,0,2,1,13,-29,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600236,"Nov 25, 2016",MIN @ PHX,W,41,7,18,0.389,1,3,0.333,10,11,0.909,0,5,5,1,0,0,2,3,25,19,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600244,"Nov 26, 2016",MIN @ GSW,L,39,6,15,0.4,1,6,0.167,3,4,0.75,0,3,3,3,1,0,3,1,16,-15,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600258,"Nov 28, 2016",MIN vs. UTA,L,34,6,16,0.375,1,2,0.5,0,0,0.0,0,2,2,4,0,0,2,6,13,-4,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600271,"Nov 30, 2016",MIN vs. NYK,L,40,8,20,0.4,3,4,0.75,0,1,0.0,2,5,7,4,1,0,1,2,19,12,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600285,"Dec 02, 2016",MIN @ NYK,L,36,6,14,0.429,0,2,0.0,7,8,0.875,1,2,3,4,1,0,1,3,19,-14,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600292,"Dec 03, 2016",MIN @ CHA,W,37,11,20,0.55,2,7,0.286,5,5,1.0,0,1,1,4,3,0,4,3,29,-5,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600319,"Dec 06, 2016",MIN vs. SAS,L,38,5,12,0.417,0,2,0.0,1,3,0.333,2,5,7,2,0,0,4,4,11,-14,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600331,"Dec 08, 2016",MIN @ TOR,L,36,10,19,0.526,1,4,0.25,4,6,0.667,3,2,5,1,0,0,2,5,25,-16,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600342,"Dec 09, 2016",MIN vs. DET,L,27,6,16,0.375,1,3,0.333,3,4,0.75,0,2,2,0,0,0,1,0,16,-15,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600358,"Dec 11, 2016",MIN vs. GSW,L,41,8,14,0.571,2,3,0.667,7,10,0.7,0,5,5,2,0,0,4,2,25,1,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600370,"Dec 13, 2016",MIN @ CHI,W,39,8,17,0.471,2,4,0.5,5,6,0.833,3,6,9,3,1,1,1,3,23,12,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600403,"Dec 17, 2016",MIN vs. HOU,L,44,5,17,0.294,0,2,0.0,3,4,0.75,2,4,6,5,3,1,1,3,13,-3,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600416,"Dec 19, 2016",MIN vs. PHX,W,39,11,20,0.55,1,2,0.5,3,4,0.75,0,4,4,2,3,0,3,5,26,9,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600430,"Dec 21, 2016",MIN @ ATL,W,39,9,19,0.474,0,3,0.0,1,1,1.0,3,4,7,2,0,1,1,2,19,2,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600450,"Dec 23, 2016",MIN vs. SAC,L,40,6,19,0.316,0,6,0.0,3,4,0.75,0,0,0,1,0,1,2,1,15,0,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600459,"Dec 25, 2016",MIN @ OKC,L,36,10,20,0.5,0,2,0.0,3,8,0.375,1,2,3,2,2,0,1,0,23,-11,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600468,"Dec 26, 2016",MIN vs. ATL,W,28,7,14,0.5,4,6,0.667,3,4,0.75,1,3,4,2,1,0,0,2,21,16,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600483,"Dec 28, 2016",MIN @ DEN,L,36,11,20,0.55,2,4,0.5,1,4,0.25,1,4,5,1,2,0,0,0,25,1,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600497,"Dec 30, 2016",MIN vs. MIL,W,39,10,18,0.556,0,3,0.0,11,13,0.846,1,4,5,6,1,0,1,1,31,16,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600511,"Jan 01, 2017",MIN vs. POR,L,38,10,20,0.5,1,3,0.333,3,7,0.429,3,2,5,1,1,0,5,1,24,-17,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600521,"Jan 03, 2017",MIN @ PHI,L,37,2,15,0.133,0,3,0.0,4,4,1.0,0,4,4,3,1,0,4,2,8,-2,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600544,"Jan 06, 2017",MIN @ WAS,L,39,16,30,0.533,1,3,0.333,8,10,0.8,1,0,1,2,2,0,2,2,41,-4,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600556,"Jan 07, 2017",MIN vs. UTA,L,38,6,19,0.316,1,3,0.333,3,7,0.429,4,1,5,4,0,1,5,4,16,-1,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600570,"Jan 09, 2017",MIN vs. DAL,W,36,5,11,0.455,0,1,0.0,3,6,0.5,3,1,4,0,0,0,3,3,13,2,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600582,"Jan 11, 2017",MIN vs. HOU,W,38,11,20,0.55,2,4,0.5,4,5,0.8,0,4,4,2,0,1,3,4,28,9,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600596,"Jan 13, 2017",MIN vs. OKC,W,36,9,22,0.409,0,3,0.0,1,1,1.0,1,5,6,1,1,1,4,0,19,7,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600608,"Jan 15, 2017",MIN @ DAL,L,38,8,15,0.533,1,3,0.333,2,2,1.0,1,7,8,4,1,0,2,1,19,8,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600625,"Jan 17, 2017",MIN @ SAS,L,38,3,8,0.375,0,1,0.0,4,6,0.667,0,3,3,3,1,0,3,3,10,-8,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600640,"Jan 19, 2017",MIN @ LAC,W,38,9,19,0.474,1,2,0.5,8,10,0.8,1,3,4,4,0,1,2,2,27,6,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600664,"Jan 22, 2017",MIN vs. DEN,W,39,10,20,0.5,1,3,0.333,3,4,0.75,0,4,4,4,1,1,2,5,24,10,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600679,"Jan 24, 2017",MIN @ PHX,W,39,11,22,0.5,2,4,0.5,7,8,0.875,2,4,6,3,2,0,2,1,31,0,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600691,"Jan 26, 2017",MIN vs. IND,L,39,7,17,0.412,1,4,0.25,6,7,0.857,1,4,5,2,1,0,3,3,21,-9,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600710,"Jan 28, 2017",MIN vs. BKN,W,38,9,18,0.5,1,1,1.0,4,5,0.8,2,1,3,4,1,1,2,4,23,21,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600720,"Jan 30, 2017",MIN vs. ORL,W,41,10,20,0.5,1,3,0.333,6,8,0.75,1,1,2,5,2,1,3,1,27,0,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600731,"Feb 01, 2017",MIN @ CLE,L,36,9,17,0.529,2,6,0.333,3,3,1.0,1,1,2,0,0,0,2,2,23,-14,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600748,"Feb 03, 2017",MIN @ DET,L,40,8,20,0.4,0,3,0.0,5,5,1.0,1,2,3,1,0,0,1,2,21,-12,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600763,"Feb 04, 2017",MIN vs. MEM,L,37,9,22,0.409,1,4,0.25,4,7,0.571,2,0,2,5,1,1,1,4,23,-4,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600775,"Feb 06, 2017",MIN vs. MIA,L,37,11,23,0.478,2,4,0.5,3,3,1.0,1,3,4,0,2,0,1,2,27,1,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600790,"Feb 08, 2017",MIN vs. TOR,W,38,11,19,0.579,1,2,0.5,8,9,0.889,2,3,5,6,2,1,3,2,31,2,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600804,"Feb 10, 2017",MIN vs. NOP,L,37,11,17,0.647,1,3,0.333,6,7,0.857,2,2,4,2,3,0,3,0,29,-2,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600816,"Feb 12, 2017",MIN vs. CHI,W,34,10,19,0.526,2,5,0.4,5,6,0.833,2,4,6,4,2,1,1,2,27,18,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600832,"Feb 14, 2017",MIN vs. CLE,L,41,16,29,0.552,4,8,0.5,5,6,0.833,1,2,3,2,1,0,0,1,41,-9,1,2016-17,203952,Andrew Wiggins
22016,203952,0021600842,"Feb 15, 2017",MIN @ DEN,W,38,15,26,0.577,2,4,0.5,8,11,0.727,1,3,4,2,2,0,1,2,40,10,1,2016-17,203952,Andrew Wiggins
